order_id,orderrad_id,orderdatum,önskat_leveransdatum,faktiskt_leveransdatum,produkt_id,produktnamn,kategori,säsong,antal,pris,vikt_gram,leveranszon,kund_id,recension_text,recensionsdatum,betyg
GG-2024-00005,GG-2024-00005-1,2024-01-21,2024-01-24,24 januari 2024,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,2,49.0,5,Zon 2,KUND-13241,Priset är högt för vad man får.,2024-02-14,3
GG-2024-00006,GG-2024-00006-1,2024-01-17,2024-01-20,2024-01-20,JOR-NAR-001,Flytande näring 1L,Jord & näring,Alla,3,99.0,1100,Zon 2,KUND-11133,,,
GG-2024-00006,GG-2024-00006-2,2024-01-17,2024-01-20,2024-01-20,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,2,89.0,12500,Zon 2,KUND-11133,,,
GG-2024-00006,GG-2024-00006-3,2024-01-17,2024-01-20,2024-01-20,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,1,149.0,25000,Zon 2,KUND-11133,,,
GG-2024-00007,GG-2024-00007-1,2024-01-22,2024-01-27,2024-01-27,FRO-SAL-001,Sallatsfrön mix,Frön,Vår,1,39.0,8,Zon 3,KUND-10094,,,
GG-2024-00007,GG-2024-00007-2,2024-01-22,2024-01-27,2024-01-27,JOR-PLA-002,Jord 25L,Jord & näring,Vår,1,89.0,12500,Zon 3,KUND-10094,"Min monstera är fantastisk, så stor och fin!",2024-02-15,5
GG-2024-00007,GG-2024-00007-3,2024-01-22,2024-01-27,2024-01-27,PLT-INO-001,Monstera deliciosa,Inomhusväxter,Alla,4,299.0,2000,Zon 3,KUND-10094,,,
GG-2024-00008,GG-2024-00008-1,2024-01-17,2024-01-21,2024-01-21,PLT-INO-001,Monstera deliciosa,Inomhusväxter,Alla,2,299.0,2000,3,KUND-10094,,,
GG-2024-00009,GG-2024-00009-1,2024-01-27,2024-02-01,2024-02-01,PLT-INO-003,Gullranka ampel,Inomhusväxter,Alla,1,129.0,500,,KUND-14392,,,
GG-2024-00010,GG-2024-00010-1,2024-01-25,2024-01-27,2024-01-27,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,4,89.0,12500,Zon 1,KUND-11133,,,
GG-2024-00010,GG-2024-00010-2,2024-01-25,2024-01-27,2024-01-27,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199:-,800,Zon 1,KUND-11133,Priset är högt för vad man får.,2024-02-15,3
GG-2024-00010,GG-2024-00010-3,2024-01-25,,2024-01-27,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,5,149.0,25000,Zon 1,KUND-11133,Plantorna var helt döda vid leverans. Besviken.,2024-02-09,1
GG-2024-00011,GG-2024-00011-1,2024-01-02,2024-01-05,2024-01-08,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,2,SEK 49,5,Zon 1,KUND-10094,"Mycket nöjd, allt kom fram i bra skick.",2024-01-14,5
GG-2024-00011,GG-2024-00011-2,2024-01-02,2024-01-05,2024-01-08,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199.0,800,Zon 1,KUND-10094,Leveransen tog lite längre än väntat men okej.,2024-02-07,3
GG-2024-00011,GG-2024-00011-3,2024-01-02,2024-01-05,2024-01-08,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,1,149.0,400,Zon 1,KUND-10094,,,
GG-2024-00011,GG-2024-00011-4,"January 02, 2024",2024-01-05,2024-01-08,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,3,149.0,400,Zon 1,KUND-10094,,,
GG-2024-00012,GG-2024-00012-1,2024-01-11,2024-01-16,2024-01-16,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,1,129.0,1500,Zon 4,KUND-10094,"Fungerade någorlunda, inte imponerad.",2024-02-02,3
GG-2024-00013,GG-2024-00013-1,2024-01-04,2024-01-06,2024-01-06,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,1,179.0,600,Zon 1,KUND-11133,,,
GG-2024-00013,GG-2024-00013-2,2024-01-04,2024-01-06,2024-01-06,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,1,149.0,400,Zon 1,KUND-11133,,,
GG-2024-00013,GG-2024-00013-3,2024-01-04,2024-01-06,2024-01-06,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,4,149.0,-25000,Zon 1,KUND-11133,"Tomaterna växer som aldrig förr, tack!",2024-02-01,5
GG-2024-00013,GG-2024-00013-4,2024-01-04,2024-01-06,2024-01-06,JOR-NAR-001,Näring 1L,Jord & näring,Alla,"""1""",99.0,1100,Zon 1,KUND-11133,Mycket dålig kommunikation om förseningen.,2024-01-18,1
GG-2024-00013,GG-2024-00013-5,2024-01-04,2024-01-06,2024-01-06,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,1,149.0,25000,Zon 1,KUND-11133,"Fröerna hade utgånget datum, grodde inte alls.",2024-01-19,2
GG-2024-00014,GG-2024-00014-1,2024-01-03,2024-01-08,2024-01-08,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,1,179.0,600,Zon 4,KUND-11133,,,
GG-2024-00015,GG-2024-00015-1,2024-01-20,2024-01-23,2024/01/23,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199.0,800,Zon 1,KUND-14742,Leveransen tog lite längre än väntat men okej.,2024-02-03,3
GG-2024-00016,GG-2024-00016-1,2024-01-11,2024-01-18,2024-01-18,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,1,129:-,1500,Zon 5,KUND-13745,"Varken bra eller dåligt, gör jobbet.",2024-01-26,3
GG-2024-00016,GG-2024-00016-2,2024-01-11,2024-01-18,2024-01-18,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199.0,800g,Z5,KUND-13745,,,
GG-2024-00016,GG-2024-00016-3,2024-01-11,2024-01-18,2024-01-18,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,Alla,4,79.0,600 g,Norrlands inland,KUND-13745,,,
GG-2024-00016,GG-2024-00016-4,2024-01-11,2024-01-18,2024-01-18,PLT-INO-003,Gullranka ampel,Inomhusväxter,Alla,3,129.0,500,Zon 5,KUND-13745,,,
GG-2024-00017,GG-2024-00017-1,2024-01-22,2024-01-29,2024/02/01,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,1,49.0,5 g,Zon 4,KUND-10064,"Helt oacceptabelt, produkterna var förstörda.",2024-02-21,2
GG-2024-00018,GG-2024-00018-1,2024-01-07,2024-01-12,2024-01-12,PLT-INO-002,Fredskalla,Inomhusväxter,Alla,1,149.0,800,Zon 3,KUND-10094,"Mycket nöjd, allt kom fram i bra skick.",2024-02-07,5
GG-2024-00018,GG-2024-00018-2,2024-01-07,,2024-01-03,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,3,89.0,12500,Zon 3,KUND-10094,,,
GG-2024-00018,GG-2024-00018-3,2024-01-07,2024-01-12,2024-01-12,PLT-INO-002,Fredskalla,Inomhusväxter,Alla,1,149.0,800,Zon 3,KUND-10094,"Vackra plantor, välpackade och friska vid leverans.",2024-02-06,5
GG-2024-00018,GG-2024-00018-4,2024-01-07,2024-01-12,2024-01-12,KRU-TER-002,Terrakotta 15cm,Krukor & kärl,Alla,2,79.0,600,,KUND-10094,,,
GG-2024-00019,GG-2024-00019-1,2024-01-14,2024-01-16,2024-01-16,VER-SKY-001,Trädgårds spade,Verktyg & tillbehör,alla,2,199.0,800,,KUND-11213,,,
GG-2024-00020,GG-2024-00020-1,2024-01-28,2024-01-31,2024-01-31,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,3,179.0,600,Zon 2,KUND-10064,Överraskad över hur snabbt leveransen kom!,2024-02-26,5
GG-2024-00020,GG-2024-00020-2,2024-01-28,2024-01-31,2024-01-31,JOR-NAR-001,Flytande näring 1L,Jord & näring,Alla,3,0,1100,Zon 2,KUND-10064,"Vackra plantor, välpackade och friska vid leverans.",2024-02-28,5
GG-2024-00021,GG-2024-00021-1,2024-01-07,2024-01-13,2024-01-13,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,1,179.0,600,Zon 4,KUND-11822,"Så fina krukor, precis som på bilden.",2024-01-18,5
GG-2024-00021,GG-2024-00021-2,2024-01-07,13 januari 2024,2024-01-13,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,1,199.0,800,Zon 4,KUND-11822,,,
GG-2024-00022,GG-2024-00022-1,2024-01-11,2024-01-20,"January 20, 2024",FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,1,49.0,5,Zon 5,KUND-10064,,,
GG-2024-00023,GG-2024-00023-1,2024-01-14,2024-01-19,2024-01-19,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,1,199.0,800,Zon 3,KUND-10094,,,
GG-2024-00023,GG-2024-00023-2,2024-01-14,2024-01-19,2024-01-19,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,1,89.0,12500,Zon 3,KUND-10094,,,
GG-2024-00024,GG-2024-00024-1,2024-01-12,2024-01-16,2024-01-16,KRU-TER-001,TERRAKOTTAKRUKA,Krukor & kärl,Alla,2,129.0,1500,Zon 2,KUND-11614,Bästa fröerna jag testat. Hög grobarhet.,2024-02-09,5
GG-2024-00024,GG-2024-00024-2,2024-01-12,2024-01-16,2024-01-16,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,2,55.0,5,Zon 2,KUND-11614,,,
GG-2024-00024,GG-2024-00024-3,2024-01-12,2024-01-16,2024-01-16,JOR-PLA-002,Planteringsjord 25L,Jord & näring,VÅR,1,89.0,12500,Zon 2,KUND-11614,Jättebra service och produkter av hög kvalitet.,2024-02-05,5
GG-2024-00024,GG-2024-00024-4,2024-01-12,2024-01-16,2024-01-16,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,2,55.0,5,Zon 2,KUND-11614,"Fröerna grodde på under en vecka, fantastiskt!",2024-02-13,5
GG-2024-00025,GG-2024-00025-1,2024-01-22,2024-01-24,2024-01-24,FRO-TOM-002,Tomat Biff,Frön,Tidig vår,2,55.0,5,Zon 1,KUND-13622,,,
GG-2024-00025,GG-2024-00025-2,2024-01-22,2024-01-24,2024-01-24,FRO-SAL-001,SALLATSFRÖN MIX,Frön,Vår,1,39.0,8,Zon 1,KUND-13622,Priset är högt för vad man får.,2024-02-05,3
GG-2024-00026,GG-2024-00026-1,2024-01-08,2024-01-15,2024-01-15,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199.0,800 gram,Zon 5,KUND-10912,"Mycket nöjd, allt kom fram i bra skick.",2024-02-07,4
GG-2024-00026,GG-2024-00026-2,2024-01-08,2024-01-15,2024-01-15,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,1,149.0,25000,Zon 5,KUND-10912,"Bra pris och snabb leverans, 5 stjärnor!",2024-02-12,5
GG-2024-00027,GG-2024-00027-1,2024-01-28,2024-01-31,2024-01-31,FRO-SAL-001,Sallatsfrön mix,Frön,Vår,4,39.0,8,Zon 1,KUND-13241,,,
GG-2024-00028,GG-2024-00028-1,2024-02-14,2024-02-19,2024-02-19,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,,1,149.0,400,Zon 4,KUND-14135,Överraskad över hur snabbt leveransen kom!,2024-03-17,5
GG-2024-00028,GG-2024-00028-2,2024-02-14,2024-02-19,2024-02-19,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,3,179.0,600,Zon 4,KUND-14135,"Plantorna var i perfekt skick, rekommenderas varmt.",2024-02-24,4
GG-2024-00029,GG-2024-00029-1,2024-02-03,2024-02-05,2024-02-05,PLT-INO-003,Gullranka ampel,Inomhusväxter,Alla,1,129.0,500,Zon 1,KUND-10064,"Mycket nöjd, allt kom fram i bra skick.",2024-02-22,4
GG-2024-00030,GG-2024-00030-1,2024-02-19,2024-02-29,2024-02-29,FRO-ORT-001,"Örter mix (basilika, persilja, dill)",Frön,Vår,1,59.0,15,Zon 5,KUND-13622,"Tre av fem frön grodde, godkänt.",2024-03-29,3
GG-2024-00031,GG-2024-00031-1,2024-02-08,2024-02-12,2024-02-16,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,2,149.0,25000,Zon 2,KUND-14941,,,
GG-2024-00032,GG-2024-00032-1,1 februari 2024,2024-02-08,2024-02-13,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,,3,79.0,600,Zon 5,KUND-14375,"Jorden var full av små insekter, äckligt.",2024-02-22,2
GG-2024-00032,GG-2024-00032-2,2024-02-01,2024-02-08,2024-02-13,JOR-NAR-001,Flytande näring 1L,Jord & näring,Alla,1,99.0,1100,Zon 5,KUND-14375,Tomatplantorna frös under transporten.,2024-03-13,1
GG-2024-00033,GG-2024-00033-1,2024-02-12,2024-02-14,2024-02-14,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,1,179.0,600,Zon 1,KUND-14597,"Medelmåttigt, förpackningen var lite skadad.",2024-02-21,3
GG-2024-00034,GG-2024-00034-1,2024-02-07,2024-02-11,2024-02-11,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,,3,129.0,1500,,KUND-14620,Halva fröerna var redan mögliga i påsen.,2024-02-23,1
GG-2024-00035,GG-2024-00035-1,2024-02-13,2024-02-21,2024-02-25,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,3,129.0,1500,Zon 5,KUND-13074,,,
GG-2024-00036,GG-2024-00036-1,2024-02-14,2024-02-19,2024-02-24,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,All year,1,149.0,400,Zon 3,KUND-13074,,,
GG-2024-00037,GG-2024-00037-1,2024-02-23,2024-02-26,2024-02-26,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,1,149.0,400,Zon 1,KUND-13766,,,
GG-2024-00038,GG-2024-00038-1,2024-02-28,2024-03-02,2024-03-02,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,3,179.0,600,Zon 1,KUND-12640,"Fröerna hade utgånget datum, grodde inte alls.",2024-03-13,2
GG-2024-00038,GG-2024-00038-2,2024-02-28,2024-03-02,2024-03-02,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,1,149.0,25000,Zon 1,KUND-12640,,,
GG-2024-00038,GG-2024-00038-3,2024-02-28,,2024-03-02,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,3,149.0,400,Zon 1,KUND-12640,"Varken bra eller dåligt, gör jobbet.",2024-03-28,3
GG-2024-00038,GG-2024-00038-4,2024-02-28,2024-03-02,2024-03-02,JOR-NAR-001,Flytande näring 1L,Jord & näring,Året runt,1,99.0,1100,Zon 1,KUND-12640,,,
GG-2024-00039,GG-2024-00039-1,2024-02-15,2024-02-20,2024-02-20,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,All year,1,179.0,600,Zon 4,KUND-14020,,,
GG-2024-00040,GG-2024-00040-1,2024-02-12,2024-02-16,2024-02-16,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,1,129.0,1500,Zon 2,KUND-14349,,,
GG-2024-00040,GG-2024-00040-2,2024-02-12,2024-02-16,2024-02-16,FRO-TOM-001,Tomat (Tiny Tim),Frön,Tidig vår,1,49.0,5,Zon 2,KUND-14349,,,
GG-2024-00040,GG-2024-00040-3,2024-02-12,2024-02-16,2024-02-16,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,1,199.0,800,Zon 2,KUND-14349,,,
GG-2024-00041,GG-2024-00041-1,2024-02-09,2024-02-14,14 februari 2024,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,1,199.0,800,Zon 3,KUND-14375,,,
GG-2024-00041,GG-2024-00041-2,2024-02-09,2024-02-14,2024-02-14,FRO-ORT-001,"Örter mix (basilika, persilja, dill)",Frön,Vår,1,0,15,Zon 3,KUND-14375,Alla frön grodde! Ser fram emot skörden.,2024-03-15,4
GG-2024-00041,GG-2024-00041-3,2024-02-09,,2024-02-14,PLT-INO-001,Monstera deliciosa,Inomhusväxter,Alla,2,299.0,2000,Zon 3,KUND-14375,,,
GG-2024-00041,GG-2024-00041-4,2024-02-09,14 februari 2024,2024-02-14,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,Alla,1,79.0,600,Zon 3,KUND-14375,,,
GG-2024-00041,GG-2024-00041-5,2024-02-09,2024-02-14,2024-02-14,PLT-INO-002,Fredskalla,Inomhusväxter,Alla,2,149.0,800,Zon 3,KUND-14375,"Tomaterna växer som aldrig förr, tack!",2024-02-22,5
GG-2024-00042,GG-2024-00042-1,2024-02-13,2024-02-16,2024-02-16,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,1,55.0,5,Zon 2,KUND-14392,,,
GG-2024-00042,GG-2024-00042-2,2024-02-13,2024-02-16,2024-02-16,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,1,179.0,600,Zon 2,KUND-14392,,,
GG-2024-00043,GG-2024-00043-1,2024-02-25,2024-02-29,2024-02-29,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,1,89.0,12500,Zon 2,KUND-11848,,,
GG-2024-00043,GG-2024-00043-2,2024-02-25,2024-02-29,2024-02-29,PLT-INO-002,Fredskalla,Inomhusväxter,Alla,2,149.0,800,Zon 2,KUND-11848,,,
GG-2024-00044,GG-2024-00044-1,2024-02-09,2024-02-13,2024-02-13,JOR-NAR-001,Flytande näring 1L,Jord & näring,,1,99.0,1100,Zon 3,KUND-14742,,,
GG-2024-00045,GG-2024-00045-1,2024-02-02,2024-02-05,2024-02-08,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,3,49.0,5,Zon 1,KUND-12385,,,
GG-2024-00045,GG-2024-00045-2,2024-02-02,,2024-02-08,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,1,SEK 199,800,Zon 1,KUND-12385,,,
GG-2024-00045,GG-2024-00045-3,2024-02-02,2024-02-05,2024-02-08,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,2,179.0,600,1,KUND-12385,"Grym kvalitet på spaden, känns robust.",2024-02-16,5
GG-2024-00046,GG-2024-00046-1,2024-02-04,2024-02-08,2024-02-08,KRU-PLA-001,Balkonglåda plast,Krukor & kärl,Alla,1,149.0,400 g,Zon 2,KUND-13597,,,
GG-2024-00047,GG-2024-00047-1,2024-02-20,2024-02-22,2024-02-22,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,2,49.0,5,Zon 1,KUND-12640,,,
GG-2024-00048,GG-2024-00048-1,2024-02-21,2024-02-25,2024-02-25,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,4,149.0,400,Zon 2,KUND-14620,,,
GG-2024-00049,GG-2024-00049-1,2024-02-22,2024-02-25,2024-02-25,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,2,55.0,5,Zon 1,KUND-12630,Snabb leverans och bra kvalitet på jorden.,2024-03-23,5
GG-2024-00050,GG-2024-00050-1,2024-02-04,2024-02-11,2024-02-11,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,1,129.0,1500,,KUND-11822,,,
GG-2024-00050,GG-2024-00050-2,2024-02-04,,2024-02-11,VER-SKY-001,Trädgårdsspade,Verktyg & tillbehör,Alla,2,199.0,800,Zon 5,KUND-11822,,,
GG-2024-00051,GG-2024-00051-1,2024-02-07,2024-02-10,2024-02-10,KRU-PLA-001,Plastlåda balkong 60cm,Krukor & kärl,Alla,1,149.0,400,Zon 1,KUND-10422,,,
GG-2024-00052,GG-2024-00052-1,2024-02-23,2024-02-26,2024-02-28,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,4,129.0,1500,,KUND-11960,,,
GG-2024-00052,GG-2024-00052-2,2024-02-23,2024-02-26,2024-02-28,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,Alla,1,79.0,600,Zon 1,KUND-11960,,,
GG-2024-00053,GG-2024-00053-1,2024-02-16,2024-02-24,2024-02-24,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,Alla,3,79.0,600,Zon 5,KUND-10422,"Proffsigt packade, inget var skadat.",2024-03-23,5
GG-2024-00054,GG-2024-00054-1,2024-02-10,2024-02-15,2024-02-15,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,2,129.0,1500,Zon 3,KUND-10912,"Grym kvalitet på spaden, känns robust.",2024-02-24,4
GG-2024-00054,GG-2024-00054-2,2024-02-10,2024-02-15,2024-02-15,FRO-ORT-001,Örtfrön mix,Frön,Vår,1,59.0,15,Zon 3,KUND-10912,"Fröerna grodde på under en vecka, fantastiskt!",2024-03-16,4
GG-2024-00054,GG-2024-00054-3,2024-02-10,2024-02-15,2024-02-15,JOR-PLA-001,Planteringsjord 50L,Jord & näring,Vår,1,149.0,25000,Zon 3,KUND-10912,,,
GG-2024-00055,GG-2024-00055-1,2024-03-13,2024-03-21,2024-03-21,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,1,55.0,5,Zon 5,KUND-13123,Perfekt för balkongen. Pelargonerna blommar redan.,2024-04-09,4
GG-2024-00055,GG-2024-00055-2,2024-03-13,2024-03-21,2024-03-21,PLT-BLO-001,Pelargon röd,Färdiga plantor,April-Maj,1,69.0,400,Zon 5,KUND-13123,"Tomaterna växer som aldrig förr, tack!",2024-04-13,4
GG-2024-00055,GG-2024-00055-3,2024-03-13,,2024-03-21,FRO-ORT-001,"Örter mix (basilika, persilja, dill)",Frön,Vår,3,59.0,15,,KUND-13123,,,
GG-2024-00056,GG-2024-00056-1,2024-03-23,2024-03-27,2024-03-27,PLT-ORT-002,Persilja i kruka,Färdiga plantor,Vår,1,45.0,200,Zon 2,KUND-12640,"Gullrankan är så vacker, perfekt hängväxt.",2024-04-21,5
GG-2024-00057,GG-2024-00057-1,2024-03-08,2024-03-12,2024-03-12,FRO-BLO-001,Sommarblommor mix,Frön,,5,69.0,20,Zon 3,KUND-14392,"Så fina krukor, precis som på bilden.",2024-03-25,5
GG-2024-00057,GG-2024-00057-2,2024-03-08,2024-03-12,2024-03-12,KRU-PLA-001,plastlåda balkong,Krukor & kärl,Alla,2,149.0,400,Zon 3,KUND-14392,"Sådär, några plantor klarade sig.",2024-03-19,3
GG-2024-00057,GG-2024-00057-3,2024-03-08,2024-03-12,2024-03-12,FRO-ORT-001,"Örter mix (basilika, persilja, dill)",Frön,Vår,1,59.0,0.015kg,Zon 3,KUND-14392,,,
GG-2024-00057,GG-2024-00057-4,2024-03-08,2024-03-12,2024-03-12,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,1,129.0,1500,Zon 3,KUND-14392,,,
GG-2024-00058,GG-2024-00058-1,2024-03-20,2024-03-25,"March 25, 2024",PLT-BLO-001,Pelargon röd,Färdiga plantor,Vår,1,69.0,400,Zon 4,KUND-14392,,,
GG-2024-00058,GG-2024-00058-2,2024-03-20,2024-03-25,2024-03-25,PLT-TOM-001,TOMATPLANTA TINY TIM,Färdiga plantor,Vår,2,79.0,300,,KUND-14392,,,
GG-2024-00059,GG-2024-00059-1,2024-03-10,2024-03-15,2024-03-15,PLT-BLO-001,Pelargon röd,Färdiga plantor,Vår,1,69.0,400,Zon 3,KUND-13811,,,
GG-2024-00060,GG-2024-00060-1,28/03/2024,2024-04-01,2024-04-06,PLT-BLO-001,Pelargon Röd,Färdiga plantor,Vår,1,69.0,400,Zon 2,KUND-13742,,,
GG-2024-00060,GG-2024-00060-2,2024-03-28,,2024-04-06,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,5,55.0,5,Z2,KUND-13742,,,
GG-2024-00060,GG-2024-00060-3,2024-03-28,2024-04-01,2024-04-06,FRO-TOM-002,Tomatfrön 'Biff',Frön,Tidig vår,1,55.0,5,,KUND-13742,,,
GG-2024-00060,GG-2024-00060-4,2024-03-28,2024-04-01,2024-04-06,VER-VAN-001,Vattenkanna 10L,Verktyg & tillbehör,Alla,2,179.0,600,,KUND-13742,,,
GG-2024-00060,GG-2024-00060-5,2024-03-28,2024-04-01,2024-04-06,FRO-TOM-001,Tomatfrön 'Tiny Tim',Frön,Tidig vår,1,49.0,5,Zon 2,KUND-13742,,,
GG-2024-00061,GG-2024-00061-1,2024-03-25,2024-03-31,2024-03-31,KRU-TER-001,Terrakottakruka 25cm,Krukor & kärl,Alla,2,129.0,1500,Zon 4,KUND-12344,,,
GG-2024-00061,GG-2024-00061-2,2024-03-25,2024-03-31,2024-03-31,JOR-PLA-002,Planteringsjord 25L,Jord & näring,Vår,3,89.0,12500,Zon 4,KUND-12344,,,
GG-2024-00062,GG-2024-00062-1,2024-03-21,2024-03-26,2024-03-30,KRU-TER-002,Terrakottakruka 15cm,Krukor & kärl,Alla,1,79.0,600,Zon 3,KUND-14742,,,
